Fiil,Edat,Kasus,Türkçe Anlamı,Örnek Cümle
abhängen,von,Dativ,bir şeye bağlı olmak,Das hängt vom Wetter ab.
achten,auf,Akkusativ,bir şeye dikkat etmek,Achte auf den Verkehr!
anfangen,mit,Dativ,bir şeye başlamak,Wir fangen mit dem Spiel an.
sich anpassen,an,Akkusativ,bir şeye uyum sağlamak,Man muss sich an die neuen Regeln anpassen.
antworten,auf,Akkusativ,bir şeye cevap vermek,Er antwortet auf die E-Mail.
sich ärgern,über,Akkusativ,birine/bir şeye kızmak,Ich ärgere mich über den Fehler.
aufhören,mit,Dativ,bir şeye son vermek/bırakmak,Hör mit dem Lärm auf!
aufpassen,auf,Akkusativ,dikkat etmek/göz kulak olmak,Pass auf meine Tasche auf!
sich aufregen,über,Akkusativ,bir şeye heyecanlanmak/sinirlenmek,Reg dich nicht über Kleinigkeiten auf.
ausgeben,für,Akkusativ,bir şey için para harcamak,Er gibt viel Geld für Autos aus.
sich bedanken,bei,Dativ,birine teşekkür etmek,Ich bedanke mich bei dir.
sich bedanken,für,Akkusativ,bir şey için teşekkür etmek,Ich bedanke mich für das Geschenk.
beginnen,mit,Dativ,bir şeye başlamak,Das Konzert beginnt mit einem Klaviersolo.
sich bemühen,um,Akkusativ,bir şey için çabalamak,Er bemüht sich um einen Job.
berichten,über,Akkusativ,bir şey hakkında rapor vermek/anlatmak,Die Zeitung berichtet über den Unfall.
sich beschäftigen,mit,Dativ,bir şeyle meşgul olmak,Ich beschäftige mich mit deutscher Grammatik.
sich beschweren,bei,Dativ,birine şikayet etmek,Er beschwert sich beim Chef.
sich beschweren,über,Akkusativ,bir şeyi şikayet etmek,Wir beschweren uns über das Essen.
bestehen,aus,Dativ,bir şeyden oluşmak,Der Kurs besteht aus 10 Lektionen.
sich bewerben,um,Akkusativ,bir şeye başvurmak,Sie bewirbt sich um die Stelle.
bitten,um,Akkusativ,bir şey rica etmek,Darf ich dich um einen Gefallen bitten?
danken,für,Akkusativ,bir şey için teşekkür etmek,Ich danke dir für deine Hilfe.
denken,an,Akkusativ,birini/bir şeyi düşünmek,Ich denke oft an dich.
diskutieren,mit,Dativ,biriyle tartışmak,Ich diskutiere mit meinem Freund.
diskutieren,über,Akkusativ,bir konu hakkında tartışmak,Wir diskutieren über Politik.
einladen,zu,Dativ,bir şeye davet etmek,Ich lade dich zum Essen ein.
sich entscheiden,für,Akkusativ,bir şey için karar vermek,Wir entscheiden uns für dieses Auto.
sich entschuldigen,bei,Dativ,birinden özür dilemek,Ich entschuldige mich bei dir.
